round,time,cloud_0,temp_0,humidity_0,ground_press_0,wind_speed_0,wind_dir_0,rain_0,snow_0,dew_point_0,vis_0,uv_idx_0,azimuth_0,elevation_0,model_1,model_2,model_3,model_4,model_5,cloud_1,temp_1,humidity_1,ground_press_1,wind_speed_1,wind_dir_1,rain_1,snow_1,dew_point_1,vis_1,uv_idx_1,azimuth_1,elevation_1
1,2022-06-20 01:00:00+09:00,74,20.89,94,1006,1.81,121,0,0,21.1111,16.0934,0,6.64429,-31.5196,0,0,0,0,0,26,21.07023889,88,1006,2.08,31,0,0,20.1,14.5,0,6.644286656,-31.5196083
1,2022-06-20 02:00:00+09:00,77,20.74,95,1005,1.77,138,0,0,20.5556,14.7416,0,22.1373,-28.4431,0,0,0,0,0,24,20.81312184,90,1006,1.99,24,0,0,19.99,14.58,0,22.13727075,-28.44312882
1,2022-06-20 03:00:00+09:00,79,20.58,96,1005,1.55,94,0,0,20.5556,13.4058,0,35.8651,-22.4511,0,0,0,0,0,29,20.5756822,91,1006,1.36,42,0,0,19.78032787,15.86393443,0,35.86514146,-22.45105777
1,2022-06-20 04:00:00+09:00,100,20.57,96,1005,1.9,81,0,0,20.5556,12.0701,0,47.5093,-14.2435,0,0,0,0,0,88.02109939,20.61508606,92.97890061,1006,1.424936147,47.95780122,0,0,19.4,11.24666667,0,47.50927066,-14.24352179
1,2022-06-20 05:00:00+09:00,98,20.44,96,1005,1.51,98,0,0,20,10.7182,0,57.3346,-4.47298,0,0,0,0,0,84,20.55571904,93,1006,1.54,40,0,0,19.39,9.643333333,0,57.33463659,-4.472976862
1,2022-06-20 06:00:00+09:00,99,20.56,95,1005,1.81,65,0,0,20.5556,9.38248,0,65.8211,6.36272,0,0,0,0,0,82,20.64411438,93,1006,1.83,37,0,0,19.18,7.941818182,0,65.82109019,6.362721173
1,2022-06-20 07:00:00+09:00,99,20.92,93,1006,1.6,67,0,0,21.1111,8.04672,0,73.4805,17.9103,1.99598,8.55388,2.16388,6.23792,0,80,21.06034444,91,1006,1.84,38,0,0,21.3,6.4,0.7,73.48048594,17.91029244
1,2022-06-20 08:00:00+09:00,99,21.35,91,1006,1.13,97,0,0,20.5556,8.04672,1,80.8466,29.9158,9.74378,12.0985,10.8815,10.551,4.43385,71,21.6052,88,1006,1.7,56,0,0,20.92333333,14.5,2.033333333,80.84664633,29.91575194
1,2022-06-20 09:00:00+09:00,96,21.91,89,1006,0.43,67,0,0,20,8.04672,1,88.6034,42.1746,15.2436,19.9081,23.3156,20.1191,11.2447,64,22.23843976,86,1006,1.16,50,0,0,21.61666667,14.39333333,3,88.60340637,42.17456669
1,2022-06-20 10:00:00+09:00,36,22.48,87,1005,0.43,240,0,0,18.8889,8.04672,2,97.9845,54.465,28.7979,29.2114,35.2812,38.2862,16.9444,36.96833333,22.99108333,84.97888889,1005,1.832083333,344.1688889,0,0,22.08333333,11.46,2.966666667,97.9844537,54.46498885
1,2022-06-20 11:00:00+09:00,20,23.01,85,1005,1.58,271,0,0,18.3333,8.04672,3,112.247,66.3671,34.3075,38.2985,45.7791,39.9854,32.6078,31,23.43786903,83,1005,1.95,279,0,0,21.57,16.1,2.033333333,112.2465122,66.36707827
1,2022-06-20 12:00:00+09:00,20,23.49,83,1005,3.02,272,0,0,18.8889,8.04672,3,143.407,76.296,38.6999,46.8333,46.8864,32.0175,36.298,30,23.57209482,84,1005,3.28,277,0,0,20.72333333,16.04666667,3.066666667,143.4066491,76.2960449
1,2022-06-20 13:00:00+09:00,22,23.8,82,1004,3.97,293,0,0,20.5556,8.04672,3,206.917,77.4711,49.1369,53.4766,48.9527,39.6592,51.0397,30,23.45873959,84,1005,2.89,274,0,0,21.38333333,14.55333333,5.2,206.9165608,77.47111288
1,2022-06-20 14:00:00+09:00,20,23.9,82,1004,4.18,280,0,0,21.1111,8.04672,3,244.027,68.4002,47.4901,54.3435,52.9872,50.6237,39.5897,28,23.92380556,82,1004,3.12,261,0,0,20.93666667,16.1,10.9,244.0270928,68.40021795
1,2022-06-20 15:00:00+09:00,17,23.72,82,1004,4.05,272,0,0,21.6667,8.04672,2,259.964,56.6647,44.6038,48.1458,49.0786,48.2721,52.5414,25,24.12238466,81,1004,3.57,271,0,0,21.99666667,16.20666667,7.9,259.9644706,56.66469636
1,2022-06-20 16:00:00+09:00,2,23.47,82,1004,3.4,270,0,0,21.6667,8.04672,1,269.878,44.4018,39.4525,41.4009,44.9031,43.332,43.4214,54,22.97396887,87,1004,2.24,264,0,0,21.89666667,19.19333333,4.9,269.8777273,44.40184586
1,2022-06-20 17:00:00+09:00,1,23.41,82,1003,2.93,268,0,0,21.1111,8.04672,1,277.809,32.1192,30.1145,34.428,32.2942,29.9305,30.8007,77,23.19093282,87,1003,1.76,240,0,0,21.79344262,16.1,1.967213115,277.808869,32.11919613
1,2022-06-20 18:00:00+09:00,1,23.22,82,1003,2.45,275,0,0,20.5556,8.04672,0,285.187,20.0539,14.8392,19.1241,18.6178,15.6243,21.1121,82,23.41127403,86,1003,1.18,247,0,0,21.59491525,16.15423729,1,285.1870702,20.05390436
1,2022-06-20 19:00:00+09:00,1,22.96,84,1004,1.69,280,0,0,20.5556,11.2654,0,292.752,8.40755,9.32632,12.1519,8.70094,8.65134,14.9774,79,23.08934723,87,1003,1.09,352,0,0,21.2969697,19.2030303,0.96969697,292.7524394,8.407549345
1,2022-06-20 20:00:00+09:00,1,22.32,85,1004,1.25,323,0,0,21.1111,11.2654,0,301.052,-2.57857,0,0,0,0,0,64.180131,22.50074236,88.97598253,1003,1.900152838,30.90283843,0,0,21.20606061,16.29393939,0.060606061,301.0518148,-2.578572849
1,2022-06-20 21:00:00+09:00,1,22.15,85,1004,1.25,322,0,0,21.1111,11.2654,0,310.598,-12.5727,0,0,0,0,0,53,22.30863164,89,1004,1.58,90,0,0,21.00333333,15.99333333,0,310.5977003,-12.5727169
1,2022-06-20 22:00:00+09:00,0,22.07,85,1005,1.89,323,0,0,21.1111,11.2654,0,321.883,-21.1057,0,0,0,0,0,13,22.23032705,90,1004,1.31,75,0,0,21.07666667,13.00666667,0,321.8830695,-21.10572538
1,2022-06-20 23:00:00+09:00,0,21.83,86,1005,1.47,350,0,0,21.1111,9.65606,0,335.235,-27.55,0,0,0,0,0,7.072364971,22.03987939,90.98793917,1004,1.616261143,102.6622968,0,0,20.41694915,15.88305085,0,335.2346425,-27.55003475
1,2022-06-21 00:00:00+09:00,13,21.85,86,1005,1.45,90,0,0,20.5556,9.65606,0,350.468,-31.1982,0,0,0,0,0,4,22.03,92,1003,1.93,69,0,0,20.90491803,9.778688525,0,350.4683374,-31.19819807
1,2022-06-21 01:00:00+09:00,10,20.85,94,1003,3.7,92,0,0,20.5556,9.65606,0,6.58502,-31.5164,0,0,0,0,0,3.02148847,21.57009958,92,1003,2.703024109,51.38679245,0,0,20.98333333,11.13666667,0,6.585019506,-31.51638806
1,2022-06-21 02:00:00+09:00,15,20.99,93,1003,3.81,76,0,0,19.4444,7.49954,0,22.0807,-28.4523,0,0,0,0,0,7,21.59307903,93,1002,3.91,29,0,0,20.51,6.453333333,0,22.08069609,-28.45230146
1,2022-06-21 03:00:00+09:00,27,21.08,93,1003,3.59,73,0.11,0,20,6.96846,0,35.8147,-22.4706,0,0,0,0,0,2.101939058,21.17395568,91.02548476,1002,2.629113573,39.12742382,0,0,20.79666667,8,0,35.81468783,-22.47055674
1,2022-06-21 04:00:00+09:00,98,21.18,93,1003,3.65,64,0,0,20,6.43738,0,47.4654,-14.2708,0,0,0,0,0,0,21.05325153,92,1003,3.32,26,0,0,20.67966102,8.057627119,0,47.46542489,-14.27080185
1,2022-06-21 05:00:00+09:00,99,21.37,92,1003,3.94,59,0.11,0,20,7.49954,0,57.2962,-4.50583,0,0,0,0,0,0,20.9538892,92,1003,3.6,26,0,0,20.14285714,9.957142857,0,57.296221,-4.505830044
1,2022-06-21 06:00:00+09:00,99,21.57,91,1003,4.2,79,0.11,0,20,6.96846,0,65.7864,6.32597,0,0,0,0,0,0,20.96630872,92,1003,2.94,41,0,0,20.9,14.5,0.7,65.78636365,6.325965363
1,2022-06-21 07:00:00+09:00,88,21.8,91,1003,4.21,81,0,0,20.5556,16.0934,1,73.4475,17.8709,3.65806,4.54495,1.72097,4.7641,11.1386,0,21.34804107,90,1003,2.42,65,0,0,20.8147541,12.97868852,1.049180328,73.44752755,17.87086207
1,2022-06-21 08:00:00+09:00,72,22.35,89,1003,4.11,78,0,0,20.5556,16.0934,1,80.8132,29.8746,14.3014,10.7507,9.36045,11.8587,19.0449,0,22.00658068,88,1003,1.63,10,0,0,21.10333333,14.5,2.033333333,80.81318058,29.87460332
1,2022-06-21 09:00:00+09:00,64,22.75,87,1003,4.3,76,0,0,20,16.0934,2,88.566,42.1326,24.6427,19.6117,22.4153,21.0067,30.1766,0,23.03,85,1003,3.15764442,347.8351094,0,0,21.19666667,14.44666667,3.033333333,88.56598593,42.1325911
1,2022-06-21 10:00:00+09:00,53,22.89,87,1003,3.91,69,0,0,18.3333,16.0934,3,97.9359,54.4234,31.346,29.7418,31.2538,27.1158,25.5775,2,23.24719512,83,1003,2.48,347,0,0,21.11666667,12.73666667,3.966666667,97.93586287,54.42339651
1,2022-06-21 11:00:00+09:00,56,23.03,86,1003,5.13,82,0,0,17.2222,16.0934,4,112.165,66.3288,41.4795,37.8801,32.9842,26.5404,52.0271,6.055585249,24.00220738,81.02779262,1003,2.897797969,321.5831106,0,0,21.6,8,3.033333333,112.1654305,66.3287759
1,2022-06-21 12:00:00+09:00,50,23.63,82,1003,4.84,75,0,0,17.7778,16.0934,3,143.217,76.2738,40.4052,46.9425,31.2816,20.437,42.1975,8,23.77989474,82,1003,4.22,307,0,0,21.60666667,8.27,4.1,143.2168081,76.27376749
1,2022-06-21 13:00:00+09:00,38,24.56,77,1002,3.67,70,0,0,18.3333,16.0934,2,206.715,77.4958,40.8682,51.5066,27.4874,23.4687,50.8259,10,23.6095144,83,1003,4.71,304,0,0,21.8,16.1,8.142857143,206.7149986,77.49583486
1,2022-06-21 14:00:00+09:00,34,25.13,75,1002,2.19,56,0,0,18.8889,16.0934,2,243.957,68.4432,46.2097,45.561,32.1073,22.9561,35.7837,13,23.57075616,84,1003,4.78,293,0,0,22.38360656,16.1,10.90163934,243.9567169,68.443192
1,2022-06-21 15:00:00+09:00,40,24.89,76,1002,1.8,19,0,0,19.4444,16.0934,1,259.929,56.7108,39.5428,32.4616,32.9818,14.3432,45.4189,16,23.39318644,84,1003,4.03,285,0,0,21.89152542,16.1,7.949152542,259.9286109,56.71080753
1,2022-06-21 16:00:00+09:00,85,24.19,80,1002,2.57,334,0,0,20,16.0934,1,269.852,44.4484,34.4644,31.9957,40.8025,31.1996,49.5949,16,23.42386503,84,1003,3.89,296,0,0,21.40333333,16.1,4.933333333,269.8517383,44.44839898
1,2022-06-21 17:00:00+09:00,83,24.09,81,1002,3.39,341,0,0,20.5556,16.0934,0,277.786,32.1653,22.5638,20.7718,25.2467,19.6081,34.9023,12,23.0456406,85,1003,3.5,304,0,0,21.49344262,16.1,2.967213115,277.7856483,32.16527029
1,2022-06-21 18:00:00+09:00,88,24.1,81,1002,3.1,10,0,0,20.5556,16.0934,0,285.164,20.0988,10.0237,5.06519,11.675,6.05348,21.0218,11,23.1433056,84,1003,2.63,295,0,0,21.295,16.1,1.983333333,285.1635641,20.09884711
1,2022-06-21 19:00:00+09:00,90,23.93,82,1003,4.45,6,0,0,20.5556,16.0934,0,292.727,8.45063,5.74645,1.32851,4.95303,3.91491,9.06056,9,22.86896018,85,1004,2.77,297,0,0,20.99661017,16.1,0.983050847,292.7266754,8.450628011
1,2022-06-21 20:00:00+09:00,92,23.51,84,1004,3.33,26,0,0,20.5556,16.0934,0,301.022,-2.53835,0,0,0,0,0,10.97065101,24.00065101,87,1005,2.72029349,306.5869797,0,0,20.79,16.1,0,301.0220214,-2.538353677
1,2022-06-21 21:00:00+09:00,84,23.21,85,1004,2.8,63,0,0,21.1111,16.0934,0,310.562,-12.5368,0,0,0,0,0,9.014388489,22.03453237,87,1005.985612,2.138633094,313.1870504,0,0,20.49661017,16.04576271,0,310.5620479,-12.53679
1,2022-06-21 22:00:00+09:00,77,22.95,87,1005,2.48,88,0,0,21.1111,8.04672,0,321.84,-21.0761,0,0,0,0,0,9,21.67459235,89,1007,0.59,329,0,0,20.4,14.5,0,321.8398817,-21.07611821
1,2022-06-21 23:00:00+09:00,75,22.83,88,1005,2.42,83,0,0,21.6667,16.0934,0,335.183,-27.5293,0,0,0,0,0,13.93108729,21.58620214,89,1007,0.787243492,302.3721286,0,0,20.59333333,8.11,0,335.1833253,-27.52933673
1,2022-06-22 00:00:00+09:00,77,22.68,88,1005,3.09,94,0,0,21.6667,16.0934,0,350.411,-31.189,0,0,0,0,0,11,21.53610094,89,1007,1.08,277,0,0,20.39322034,11.24576271,0,350.4109168,-31.18897814
1,2022-06-22 01:00:00+09:00,69,21.49,90,1006,1.95,293,0,0,20,16.0934,0,6.52656,-31.52,0,0,0,0,0,10,21.40768719,89,1007,1.57,303,0,0,20.2,9.7,0,6.52655772,-31.5199761
1,2022-06-22 02:00:00+09:00,75,21.39,91,1006,1.97,280,0,0,19.4444,3.21869,0,22.0267,-28.4679,0,0,0,0,0,12,21.25951747,89,1006,1.22,5,0,0,19.98,9.78,0,22.02672217,-28.46792573
1,2022-06-22 03:00:00+09:00,79,21.32,91,1006,1.65,321,0,0,20,3.21869,0,35.7681,-22.4959,0,0,0,0,0,6.244604317,21.01482014,89.98561151,1006,1.091726619,41.98561151,0,0,19.59,11.46,0,35.76810301,-22.49589863
1,2022-06-22 04:00:00+09:00,91,21.13,92,1006,1.14,3,0,0,20,1.60934,0,47.4262,-14.3032,0,0,0,0,0,7,20.89576346,90,1006,0.87,51,0,0,19.38392857,14.24285714,0,47.42623886,-14.30324248
1,2022-06-22 05:00:00+09:00,55,21.16,91,1006,1.78,8,0,0,20,16.0934,0,57.263,-4.5432,0,0,0,0,0,10,20.92140244,89,1007,1.29,65,0,0,19.1,9.7,0,57.26299121,-4.543201975
1,2022-06-22 06:00:00+09:00,37,21.13,91,1007,1.41,49,0,0,20.5556,16.0934,0,65.7573,6.28524,0,0,0,0,0,25,21.05958472,88,1007,1.44,80,0,0,19.17,8.245,0.05,65.75728594,6.285241493
1,2022-06-22 07:00:00+09:00,38,21.59,89,1007,1.58,47,0,0,20,16.0934,0,73.4208,17.8279,3.52178,6.86295,1.84391,5.47699,0,38.60600375,21.554803,85.08442777,1007,1.362251407,95.54971857,0,0,20.51,12.575,1.05,73.4207799,17.82790373
1,2022-06-22 08:00:00+09:00,36,22.15,86,1007,1.13,48,0,0,19.4444,16.0934,1,80.7868,29.8302,14.8706,14.8824,13.4724,15.3723,4.53764,41.15458422,22.09183369,81.90724947,1008,0.82391258,133.6076759,0,0,20.71,6.48,2.05,80.7867471,29.83024032
1,2022-06-22 09:00:00+09:00,42,22.76,83,1008,0.84,185,0,0,18.8889,16.0934,1,88.5369,42.0876,24.9048,26.9941,27.7837,31.6384,13.8713,46,22.79592798,79,1008,1.26,184,0,0,20.8704918,8.240983607,3,88.5369095,42.08755139
1,2022-06-22 10:00:00+09:00,94,23.39,80,1008,2.25,233,0,0,18.8889,16.0934,2,97.8978,54.3786,29.5051,34.2604,35.5328,37.3233,13.2853,50,23.4447716,77,1008,2.24,220,0,0,20.35084746,13.00847458,2.966101695,97.89784608,54.37862528
1,2022-06-22 11:00:00+09:00,97,23.79,78,1008,2.95,234,0,0,19.4444,16.0934,2,112.099,66.2866,32.7377,40.7018,40.0456,41.6441,32.6434,69,27.03,77,1008,3.64,228,0,0,21.745,16.1,2,112.0987981,66.28661205
1,2022-06-22 12:00:00+09:00,85,24.05,77,1008,3.44,234,0,0,20.5556,16.0934,3,143.043,76.2456,41.4012,53.4467,48.9155,45.4916,44.3916,69,23.4441785,79.96348884,1008.98783,4.440141988,232.9391481,0,0,20.7147541,16.1,2.295081967,143.0432156,76.24556822
1,2022-06-22 13:00:00+09:00,65,24.1,78,1008,3.47,241,0,0,20.5556,16.0934,2,206.5,77.5141,46.9572,59.6007,47.8066,56.7876,55.7139,75,23.49368275,81,1008,4.55,224,0,0,20.98666667,16.1,8.1,206.5000617,77.51409775
1,2022-06-22 14:00:00+09:00,52,24.08,79,1008,3.88,233,0,0,21.1111,16.0934,2,243.871,68.482,49.3059,57.1434,47.6661,56.2417,40.8438,62,23.759547,81,1008,4.08,230,0,0,20.61818182,16.1,10.89090909,243.871061,68.48202664
1,2022-06-22 15:00:00+09:00,44,24.12,80,1007,4.56,225,0,0,20.5556,16.0934,1,259.882,56.7536,42.6867,46.0889,43.5047,42.8037,41.891,36.30360934,23.53492569,83.96496815,1007.011677,3.615488323,225.0583864,0,0,21.1,16.1,5.9,259.8816444,56.75363485
1,2022-06-22 16:00:00+09:00,0,23.88,82,1008,4.7,233,0,0,20.5556,16.0934,1,269.817,44.4919,42.8086,42.8726,43.9028,41.6351,35.3433,46.85874799,23.61049759,84,1007,3.274365971,227.9614767,0,0,20.7704918,20.66393443,4.901639344,269.8171066,44.49185403
1,2022-06-22 17:00:00+09:00,1,23.57,83,1007,3.69,232,0,0,20.5556,16.0934,0,277.755,32.2081,27.1626,26.6066,32.0921,26.5926,20.612,66.75161987,23.72669006,83.01241901,1007,2.637948164,229.975162,0,0,20.23636364,16.1,2.963636364,277.755222,32.20813446
1,2022-06-22 18:00:00+09:00,1,23.42,84,1007,2.61,219,0,0,21.1111,16.0934,0,285.134,20.1403,15.4261,17.1657,19.1496,17.6291,8.23361,55,23.82557692,83,1007,2.13,234,0,0,21.2,16.1,1.3,285.1337431,20.14029338
1,2022-06-22 19:00:00+09:00,1,23.16,86,1007,2.22,200,0,0,21.1111,6.43738,0,292.695,8.48979,8.80871,13.7606,7.74027,8.76212,1.03662,44,23.53800998,84,1007,1.54,215,0,0,21.085,20.66,0.95,292.6951947,8.489793459
1,2022-06-22 20:00:00+09:00,2,22.5,90,1007,2.64,185,0,0,21.1111,6.43738,0,300.987,-2.50258,0,0,0,0,0,36.16920807,23.08523856,85.95769798,1007,1.187614363,165.0787014,0,0,20.82459016,16.1,0,300.9869844,-2.502576728
1,2022-06-22 21:00:00+09:00,15,22.11,92,1007,3.2,184,0,0,21.1111,6.43738,0,310.522,-12.5059,0,0,0,0,0,28.08121547,22.72627624,86.97292818,1008,1.370845304,138.3502762,0,0,21.28305085,16.20847458,0,310.5216573,-12.50592924
1,2022-06-22 22:00:00+09:00,57,21.86,94,1008,2.25,187,0,0,21.1111,6.43738,0,321.793,-21.0523,0,0,0,0,0,4,22.54651163,87,1008,2.95,136,0,0,20.79032258,19.14516129,0,321.792687,-21.05225311
1,2022-06-22 23:00:00+09:00,74,21.82,93,1008,2,164,0,0,21.1111,6.43738,0,335.129,-27.515,0,0,0,0,0,4,22.00326678,91,1008,3.16,138,0,0,20.6,16.1,0,335.1291761,-27.5150077
1,2022-06-23 00:00:00+09:00,82,21.71,94,1007,2.65,146,0,0,20.5556,6.43738,0,350.352,-31.1865,0,0,0,0,0,19,21.7268386,93,1008,3.39,141,0,0,20.905,8.485,0,350.3523791,-31.18653478
1,2022-06-23 01:00:00+09:00,5,21.68,94,1007,3.24,131,0,0,21.6667,6.43738,0,6.46899,-31.5304,0,0,0,0,0,18,21.43092972,96,1007,3.67,135,0,0,21.045,17.62,0,6.468986042,-31.53036529
1,2022-06-23 02:00:00+09:00,7,21.58,95,1006,3.5,126,0,0,21.6667,0.402336,0,21.9754,-28.49,0,0,0,0,0,22,21.52057143,96,1006,3.94,127,0,0,21.875,16.1,0,21.97542994,-28.48997676
1,2022-06-23 03:00:00+09:00,10,21.59,95,1006,3.53,140,0,0,21.6667,0.402336,0,35.7255,-22.527,0,0,0,0,0,28,21.72681994,95,1006,3.74,135,0,0,21.40983607,16.1,0,35.72546051,-22.52704288
1,2022-06-23 04:00:00+09:00,35,21.69,95,1006,3.86,146,0,0,22.2222,10.4607,0,47.3918,-14.3408,0,0,0,0,0,99,22.01369529,96,1005,3.93,149,0,0,21.62333333,16.04666667,0,47.39177697,-14.34079041
1,2022-06-23 05:00:00+09:00,57,21.74,95,1005,4.19,143,0,0,22.2222,11.7965,0,57.235,-4.58503,0,0,0,0,0,99,22.17444098,96,1005,4.17674987,154.9219969,0,0,22.30333333,14.5,0,57.23500271,-4.585029716
1,2022-06-23 06:00:00+09:00,60,21.86,95,1006,4.72,145,0,0,22.2222,9.65606,0,65.7339,6.24062,0,0,0,0,0,100,22.19070117,96,1005,4.84,158,0,0,22.40333333,14.34,0,65.73390499,6.240619684
1,2022-06-23 07:00:00+09:00,68,22.36,93,1006,5.72,158,0,0,22.2222,16.0934,0,73.4003,17.7815,3.15295,5.20354,0.735944,3.13822,7.19509,95,22.63753533,94,1005,5.1,158,0,0,22.50666667,9.86,0.033333333,73.4002851,17.78149286
1,2022-06-23 08:00:00+09:00,75,22.79,91,1006,6.92,171,0,0,21.6667,16.0934,1,80.7674,29.7827,13.3686,9.17415,9.24673,8.41168,17.2407,96,23.0752439,91,1005,5.97,169,0,0,22.71016949,14.5,1,80.76738393,29.7827424
